Tree ID,Site,Species,Root-shoot ratio,Total Biomass (gm),ANP Native,Biome,Range,Gymno/Angio,Range Gymno/Angio,Alive or Dead,Stem Height (2017 May),Stem Height (2019 August),Relative Height (%),Stem Dia (2017 May),Stem dia (2019 August),Relative Dia (%)
O5,3,pinst,,,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,N/A,,,,,,
P1,3,lirtu,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,N/A,,,,,,
P2,3,junvi,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,0,,,,,,
P3,3,lirtu,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,N/A,,,,,,
P4,3,queru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,0,,,,,,
P5,3,pruse,0.730350665,22.06,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,53,54.4,2.641509434,5.075,4.925,-2.955665025
Q1,3,queru,,,Yes,Temperate,Central,Angiosperm,Central Angiosperm,N/A,,,,,,
Q2,3,robps,0.287820819,393.95,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,53.5,170,217.7570093,4.41,25.285,473.3560091
Q3,3,pruse,1.317718941,55.01,Yes,Temperate,Central,Angiosperm,Central Angiosperm,1,68,73.8,8.529411765,6.65,11.24,69.02255639
Q4,3,abiba,,,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,N/A,,,,,,
Q5,3,lirtu,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,0,,,,,,
R2,3,quepr,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,N/A,,,,,,
R3,3,pinba,0.633303809,27.96,Yes,Boreal,Northern,Gymnosperm,Northern Gymnosperm,1,30.5,56,83.60655738,5.25,10.46,99.23809524
R4,3,pinri,,,Yes,Temperate,Central,Gymnosperm,Central Gymnosperm,N/A,,,,,,
R5,3,queal,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,0,,,,,,
A2,4,lirtu,,,No,Temperate,Southern,Angiosperm,Southern Angiosperm,1,33.5,52.3,56.11940299,4,8.54,113.5
A3,4,pinta,,,No,Temperate,Southern,Gymnosperm,Southern Gymnosperm,0,,,,,,
