Site,Species,Sapling,Diam1a,Diam1b,DiamDate1,DiamEnd1,DiamDateEnd1,Diam2a,Diam2b,DiamDate2,Diam2notes,Diam3a,Diam3b,DiamDate3,Diam3notes,Diam4a,Diam4b,DiamDate4,Diam4notes
3,pruse,3-G2 pruse,3.29,3.29,5/11/17,3.52,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,picru,3-G3 picru,2.8,2.8,5/11/17,3.42,9/14/17,3.27,3.27,6/7/18,,3.06,3.19,5/29/19,decline,3.8,3.64,8/13/19,looks ok!
3,picgl,3-G4 picgl,4.9,4.9,5/11/17,5,9/14/17,4.15,5,6/7/18,,5.97,7,5/29/19,2 braches measuered left,6.29,8,8/13/19,
3,pinri,3-G5 pinri,3.15,3.36,5/11/17,4.78,9/14/17,7.24,7.94,6/7/18,,11.1,10.63,5/29/19,,14.76,13.98,8/13/19,
3,queru,3-G6 queru,3.85,4.06,5/11/17,6.21,9/14/17,5.75,5.38,6/7/18,,6.4,6.01,5/29/19,,6.39,6.05,8/13/19,
3,pinst,3-H1 pinst,6.44,6.3,5/11/17,9.79,9/14/17,9.73,9.54,6/7/18,,11.36,12.79,5/29/19,,12.08,12.89,8/13/19,
3,junvi,3-H2 junvi,3.15,3.22,5/11/17,4.1,9/14/17,4.35,4.38,6/7/18,,3.84,4.01,5/29/19,,3.7,3.84,8/13/19,
3,queal,3-H3 queal,3.29,3.15,5/11/17,3.67,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,robps,3-H4 robps,4.2,4.2,5/11/17,11.07,9/14/17,12.9,12.95,6/7/18,,19.36,17.62,5/29/19,,18.55,18.25,8/13/19,
3,pruse,3-H5 pruse,4.34,4.41,5/11/17,5.66,9/14/17,5.97,5.48,6/7/18,,5.71,5.44,5/29/19,,6.42,6.36,8/13/19,
3,pinvi,3-H6 pinvi,2.1,2.24,5/11/17,4.64,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,pinba,3-I1 pinba,4.34,4.55,5/11/17,7.53,9/14/17,8.57,9.33,6/7/18,,11.07,12.61,5/29/19,,14.54,16.07,8/13/19,
3,pinba,3-I2 pinba,7,7,5/11/17,11.48,9/14/17,12.76,12.79,6/7/18,,17.03,17.22,5/29/19,,21.53,21.31,8/13/19,
3,lirtu,3-I3 lirtu,3.64,3.85,5/11/17,3.18,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,pinst,3-I4 pinst,5.6,5.6,5/11/17,,9/14/17,,,6/7/18,,,,5/29/19,empty,,,8/13/19,
3,junvi,3-I5 junvi,2.94,3.15,5/11/17,4.68,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,picgl,3-I6 picgl,2.1,2.1,5/11/17,,9/14/17,,,6/7/18,,,,5/29/19,empty,,,8/13/19,
3,junvi,3-J1 junvi,2.94,2.66,5/11/17,4.33,9/14/17,4.35,3.76,6/7/18,,,,5/29/19,"dead; 3.29,3.23",,,8/13/19,
3,pinst,3-J2 pinst,4.55,4.55,5/11/17,7.02,9/14/17,9.13,7.88,6/7/18,,9.33,8.77,5/29/19,,10.98,12.03,8/13/19,
3,pinvi,3-J3 pinvi,2.8,3.36,5/11/17,6.6,9/14/17,7.26,6.24,6/7/18,,5.87,5.92,5/29/19,decline,,,8/13/19,"dead: 5, 5.46"
3,picgl,3-J4 picgl,3.5,3.57,5/11/17,,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,pinba,3-J5 pinba,6.86,6.93,5/11/17,,9/14/17,,,6/7/18,,,,5/29/19,empty,,,8/13/19,
3,aceru,3-J6 aceru,3.5,3.5,5/11/17,,9/14/17,,,6/7/18,,,,5/29/19,planted,,,8/13/19,
3,pruse,3-K1 pruse,5.04,4.9,5/11/17,8.64,9/14/17,7.29,6.9,6/7/18,,7.06,7.24,5/29/19,mainstem broken,7.67,7.22,8/13/19,
3,queal,3-K2 queal,4.97,5.6,5/11/17,,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,pinta,3-K3 pinta,5.25,5.25,5/11/17,6.51,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,pinri,3-K4 pinri,4.2,3.64,5/11/17,4.98,9/14/17,5.75,4.63,6/7/18,,9.57,10.07,5/29/19,,12.29,12.72,8/13/19,
3,picru,3-K5 picru,2.94,2.8,5/11/17,3.07,9/14/17,3.32,3.72,6/7/18,,3.47,3.37,5/29/19,,3.87,3.85,8/13/19,
3,pinst,3-K6 pinst,4.9,4.76,5/11/17,6.03,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,picgl,3-L1 picgl,2.73,2.8,5/11/17,3.06,9/14/17,3.67,3.3,6/7/18,,4.84,4.57,5/29/19,,6.22,6.21,8/13/19,
3,quepr,3-L2 quepr,5.04,5.32,5/11/17,6.92,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,pinba,3-L3 pinba,7,6.44,5/11/17,9.61,9/14/17,10.23,9.33,6/7/18,,12.86,12.48,5/29/19,,14.96,15.1,8/13/19,
3,quepr,3-L4 quepr,9.17,8.75,5/11/17,,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,aceru,3-L5 aceru,2.24,2.1,5/11/17,,9/14/17,,,6/7/18,,,,5/29/19,planted,,,8/13/19,
3,picru,3-L6 picru,3.57,3.36,5/11/17,3.43,9/14/17,3.57,3.57,6/7/18,,3.84,3.59,5/29/19,,4.18,3.85,8/13/19,
3,abiba,3-M1 abiba,3.71,3.71,5/11/17,4.58,9/14/17,4.95,3.68,6/7/18,,5,4.8,5/29/19,,5.7,5.74,8/13/19,
3,picgl,3-M2 picgl,2.8,3.43,5/11/17,4.91,9/14/17,4.11,4.47,6/7/18,,,,5/29/19,"dead: 3.74, 3.88",,,8/13/19,
3,aceru,3-M3 aceru,3.36,3.43,5/11/17,3.4,9/14/17,3.66,3.66,6/7/18,,3.62,3.73,5/29/19,,3.69,4.13,8/13/19,
3,pinvi,3-M4 pinvi,2.24,2.73,5/11/17,3.23,9/14/17,4.24,4.38,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,robps,3-M5 robps,3.57,3.43,5/11/17,8.8,9/14/17,9.58,8.67,6/7/18,,16.64,14.59,5/29/19,top dead,15.39,14.07,8/13/19,
3,robps,3-M6 robps,4.76,4.55,5/11/17,11.78,9/14/17,13.56,15.05,6/7/18,,22.29,24.72,5/29/19,,23.44,22.85,8/13/19,
3,pinta,3-N1 pinta,3.85,3.85,5/11/17,3.63,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,queru,3-N2 queru,4.2,4.34,5/11/17,4.73,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,pinri,3-N3 pinri,5.6,5.6,5/11/17,7.92,9/14/17,10.17,9.04,6/7/18,,11.09,11.48,5/29/19,,15.92,15.82,8/13/19,
3,queal,3-N4 queal,3.5,3.85,5/11/17,3.79,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,pinta,3-N5 pinta,3.5,3.85,5/11/17,3.96,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,pinvi,3-O1 pinvi,2.45,2.17,5/11/17,3.53,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,picru,3-O2 picru,2.45,2.66,5/11/17,2.5,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,abiba,3-O3 abiba,3.5,3.5,5/11/17,4.3,9/14/17,4.82,4.82,6/7/18,,4.59,4.47,5/29/19,looking sad,4.82,5.05,8/13/19,
3,junvi,3-O4 junvi,2.8,2.59,5/11/17,3.6,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,pinst,3-O5 pinst,5.6,5.6,5/11/17,5.14,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,lirtu,3-P1 lirtu,4.2,3.71,5/11/17,3.77,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,junvi,3-P2 junvi,2.45,2.31,5/11/17,2.65,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,lirtu,3-P3 lirtu,3.5,3.5,5/11/17,,9/14/17,,,6/7/18,,,,5/29/19,planted,,,8/13/19,
3,queru,3-P4 queru,4.27,4.27,5/11/17,4.7,9/14/17,4.28,5.28,6/7/18,,,,5/29/19,,,,8/13/19,"dead: 4.29, 3.9"
3,pruse,3-P5 pruse,4.9,5.25,5/11/17,5.56,9/14/17,5.51,5.94,6/7/18,,4.81,4.73,5/29/19,top broken,4.77,5.08,8/13/19,
3,queru,3-Q1 queru,2.1,2.31,5/11/17,2.24,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,robps,3-Q2 robps,4.55,4.27,5/11/17,16.63,9/14/17,20.5,19.65,6/7/18,,25.55,24.46,5/29/19,,25.19,25.38,8/13/19,
3,pruse,3-Q3 pruse,6.3,7,5/11/17,9.35,9/14/17,8.73,9.47,6/7/18,,10.37,10.56,5/29/19,,11.43,11.05,8/13/19,
3,abiba,3-Q4 abiba,3.15,3.92,5/11/17,3.49,9/14/17,,,6/7/18,,,,5/29/19,planted,,,8/13/19,
3,lirtu,3-Q5 lirtu,4.2,4.2,5/11/17,5.39,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,quepr,3-R2 quepr,4.2,4.2,5/11/17,5.3,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,pinba,3-R3 pinba,5.25,5.25,5/11/17,7.55,9/14/17,8.16,8.23,6/7/18,,8.85,9.15,5/29/19,,10.42,10.5,8/13/19,
3,pinri,3-R4 pinri,5.6,5.46,5/11/17,5.21,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
3,queal,3-R5 queal,5.53,5.6,5/11/17,7.06,9/14/17,,,6/7/18,,,,5/29/19,dead,,,8/13/19,
4,lirtu,4-A2 lirtu,4,4,5/9/17,4.5,9/25/17,5.5,5.2,6/6/18,,6.42,6.53,5/29/19,Initial measurement was taken on smaller stem,8.53,8.55,8/13/19,
4,pinta,4-A3 pinta,5.95,5.25,5/9/17,7.14,9/25/17,,,6/6/18,,,,5/29/19,Dead,,,8/13/19,
4,abiba,4-A4 abiba,4.13,3.71,5/9/17,6.38,9/25/17,7.44,6.92,6/6/18,,8.52,8.44,5/29/19,Measurement point moved above root collar,10.82,11.3,8/13/19,
4,junvi,4-A5 junvi,2.87,3.15,5/9/17,4.21,9/25/17,5.96,5.55,6/6/18,,6.39,6.08,5/29/19,,6.55,6.25,8/13/19,
4,aceru,4-B1 aceru,2.45,2.8,5/9/17,,9/25/17,,,6/6/18,,,,5/29/19,Dead,,,8/13/19,
4,pinvi,4-B2 pinvi,3.15,3.15,5/9/17,6.66,9/25/17,9.51,9.44,6/6/18,,14.58,14.57,5/29/19,,18.68,16.26,8/13/19,
4,pinri,4-B3 pinri,7.35,7.14,5/9/17,12.53,9/25/17,15.22,14.54,6/6/18,,19,20.42,5/29/19,,22.6,22.87,8/13/19,
4,lirtu,4-B4 lirtu,2.8,3.15,5/9/17,,9/25/17,,,6/6/18,,,,5/29/19,Dead,,,8/13/19,
4,picru,4-B5 picru,3.15,3.08,5/12/17,4.87,9/25/17,5.35,5.38,6/6/18,,6.06,5.95,5/29/19,,6.85,8.13,8/13/19,
4,quepr,4-C1 quepr,2.73,3.5,5/9/17,,9/25/17,,,6/6/18,,,,5/29/19,Dead,,,8/13/19,
4,pinst,4-C2 pinst,4.06,3.85,5/9/17,4.29,9/25/17,,,6/6/18,,,,5/29/19,Dead,,,8/13/19,
4,queru,4-C3 queru,4.62,3.85,5/9/17,6.2,9/25/17,6.2,6.46,6/6/18,,6.26,5.03,5/29/19,,6.26,5.28,8/13/19,
4,queru,4-C4 queru,4.83,4.48,5/9/17,5.25,9/25/17,5.66,5.94,6/6/18,,,,5/29/19,Top dead - stem sprout below old DBH mark,,,8/13/19,"dead: 4.67, 5.49"
4,abiba,4-C5 abiba,3.85,4.34,5/9/17,6.62,9/25/17,6.74,7.16,6/6/18,,7.17,7.42,5/29/19,,9.72,10.41,8/13/19,
4,queal,4-D1 queal,3.5,3.15,5/9/17,5.3,9/25/17,5.1,5.09,6/6/18,,6.41,6.53,5/29/19,,8.06,10.84,8/13/19,
4,aceru,4-D2 aceru,2.45,2.66,5/9/17,3.82,9/25/17,4.3,4.49,6/6/18,,5.24,5.35,5/29/19,,8.65,8.53,8/13/19,
